MR,List_ICR_Cancers,No_ICR_Cancers
CEBPB,LGG PAAD,2
KLF15,LGG KIRC,2
PLK1,LGG KIRC,2
IFI16,LGG PAAD,2
UBE2V1,LGG PAAD,2
PTTG1,LGG KIRC,2
GLI4,LGG PAAD,2
FBXL15,LGG PAAD,2
NFKB2,LGG KIRC,2
PFKM,LGG KIRC,2
NMI,LGG UVM,2
ZGPAT,LGG PAAD,2
LHX4,LGG PAAD,2
EMX2,LGG KIRC,2
AR,LGG PAAD,2
ZNF169,LGG PAAD,2
PRMT5,LGG KIRC,2
MAFF,LGG KIRC,2
NUFIP1,LGG PAAD,2
ELF3,LGG PAAD,2
PARP10,LGG UVM,2
SETD5,LGG UVM,2
BOLA1,LGG PAAD,2
PIDD1,LGG PAAD,2
IPPK,LGG KIRC,2
HEY1,LGG KIRC,2
ORC1,LGG KIRC,2
PHF11,LGG KIRC,2
PSME1,LGG UVM,2
KMT5C,LGG PAAD,2
PHB,LGG KIRC,2
TRIP13,LGG UVM,2
GATAD1,LGG PAAD,2
NFKBIL1,LGG UVM,2
E2F7,LGG KIRC,2
ELF1,LGG KIRC,2
ZNF770,LGG KIRC,2
HIRA,LGG PAAD,2
PCBP3,LGG PAAD,2
GRHL3,LGG KIRC,2
MEIS3,LGG KIRC,2
ZNF408,LGG UVM,2
PINK1,LGG KIRC,2
SAP18,LGG PAAD,2
KAT5,LGG KIRC,2
ZNF852,LGG KIRC,2
SIRT5,LGG KIRC,2
IRF9,KIRC UVM,2
PABPC1L,KIRC PAAD,2
CDK5RAP3,KIRC PAAD,2
GAS7,KIRC PAAD,2
AKNA,KIRC PAAD,2
ADAM8,KIRC UVM,2
PEG3,KIRC UVM,2
RUNX1T1,KIRC UVM,2
PRDM16,KIRC UVM,2
ZNF366,KIRC PAAD,2
SOX17,KIRC PAAD,2
ZNF423,KIRC PAAD,2
ZNF619,KIRC UVM,2
EPAS1,KIRC PAAD,2
PLPP3,KIRC PAAD,2
PPM1A,KIRC PAAD,2
TEAD2,KIRC UVM,2
NTRK3,KIRC PAAD,2
BMP6,KIRC PAAD,2
SETD3,KIRC PAAD,2
ESRRG,KIRC UVM,2
ZNF214,KIRC PAAD,2
MXD3,KIRC PAAD,2
IKBKG,KIRC UVM,2
ALKBH4,KIRC PAAD,2
ZNF696,KIRC PAAD,2
KANK2,KIRC PAAD,2
ZMYND15,KIRC UVM,2
ZNF3,KIRC PAAD,2
EIF2AK2,KIRC PAAD,2
KLF13,KIRC PAAD,2
RCOR1,KIRC PAAD,2
TGFBR3,KIRC PAAD,2
ZNF91,KIRC PAAD,2
SIRT7,KIRC PAAD,2
ZNF581,KIRC UVM,2
THOC1,PAAD UVM,2
EFCAB6,PAAD UVM,2
ZNF19,PAAD UVM,2
ZNF7,PAAD UVM,2
COMMD5,PAAD UVM,2
