Pval,Mean1,Mean2,FC_Mean
CARD16,3.36666393213642e-163,0.058,-0.05,0.108
ETV7,1.72554134543924e-142,0.057,-0.041,0.098
BATF2,1.31531050546897e-119,0.059,-0.044,0.103
SP110,4.92686047603665e-115,0.053,-0.043,0.097
IRF7,8.54790949960488e-115,0.052,-0.04,0.092
PARP9,1.40686809670338e-125,0.059,-0.041,0.1
DTX3L,4.10820847678106e-113,0.053,-0.04,0.093
EIF2AK2,3.18179884944527e-25,0.023,-0.013,0.036
HELZ2,6.49023715940293e-43,0.034,-0.021,0.055
STAT2,1.20994386396319e-97,0.047,-0.039,0.086
IRF9,3.7419898433306e-70,0.038,-0.026,0.064
FOXM1,0.00278064066774352,-0.009,0.004,-0.013
PLK1,0.142450147457807,0,-0.005,0.006
DEPDC1,0.558964116831133,-0.001,-0.004,0.004
RRM2,0.000114379527026426,0.006,-0.012,0.018
BIRC5,0.00187085022044636,0.005,-0.009,0.014
AURKB,0.000405001296808243,0.007,-0.01,0.017
CCNA2,1.57946893998877e-07,0.012,-0.012,0.024
CDC6,0.700640560996662,-0.002,-0.001,-0.001
E2F7,0.0651388660822939,-0.009,-0.001,-0.007
CENPF,0.0609412254724756,-0.004,0.004,-0.008
MYBL2,2.75173612182074e-05,0.012,-0.008,0.02
E2F1,0.055151253353243,-0.005,0.002,-0.007
ASF1B,0.00325979999823571,0.008,-0.006,0.014
CDC45,9.53087920545697e-10,0.017,-0.012,0.029
DLGAP5,5.97197387175504e-11,0.018,-0.013,0.031
ORC1,0.00031245839263336,0.008,-0.009,0.016
TRIP13,0.000945745706904631,0.011,-0.005,0.015
