MR & FC_Median & Pval
MECOM & 0.037 & 2.91425656868576e-05
MXD3 & 0.033 & 5.76680724909852e-08
SMO & 0.033 & 2.35757782316622e-08
TEAD2 & 0.033 & 0.000242563945669362
BCL6B & 0.032 & 7.97771201695212e-05
ADAM8 & 0.031 & 9.09574166388002e-06
TRIP13 & 0.03 & 0.00135282714792755
SIRT7 & 0.027 & 1.04217530228197e-05
NOTCH3 & 0.026 & 1.70347515974279e-05
PABPC1L & 0.026 & 3.04303827664506e-05
E2F1 & 0.022 & 0.001386313440597
IRF9 & 0.017 & 2.15510043018493e-05
APOE & 0.015 & 0.00571384272494136
COMMD5 & 0.01 & 0.000307671134934315
NOTCH4 & 0.008 & 0.0356904260740047
TGFBR3 & -0.016 & 0.0168702247380092
EFCAB6 & -0.017 & 2.72484182935665e-05
CCNT2 & -0.02 & 0.00265391248007965
HIRA & -0.02 & 7.45762941223468e-12
HDAC10 & -0.022 & 0.0356904260740047
KMT5C & -0.022 & 0.00393775719006912
TRIM52 & -0.022 & 0.00385750706095971
LHX4 & -0.023 & 0.0428660120447634
PRDM16 & -0.023 & 3.04303827664506e-05
ZNF408 & -0.023 & 1.44964862890204e-10
RCOR1 & -0.026 & 1.23275257056667e-08
ZNF214 & -0.026 & 8.3299666041383e-07
ALKBH4 & -0.027 & 2.0120005654107e-06
PIDD1 & -0.028 & 0.00255761052131938
SAP18 & -0.028 & 4.11036241386734e-07
ZNF3 & -0.028 & 3.52745058283966e-06
ZNF354B & -0.028 & 0.012977797872973
ZNF7 & -0.03 & 3.4621888366037e-07
KLF13 & -0.031 & 3.30727312850569e-05
TCERG1 & -0.031 & 4.84119872804587e-05
UBE2V1 & -0.031 & 2.15045774082522e-14
KAT2A & -0.033 & 0.000860610794306152
SETD5 & -0.033 & 2.85561675829626e-07
GLI4 & -0.034 & 5.69106710891276e-07
GTF2H4 & -0.034 & 0.00233347446610732
KLF9 & -0.036 & 6.22247454377484e-07
MAPRE3 & -0.037 & 3.58112826910196e-11
ZNF852 & -0.038 & 1.08798995891484e-18
BTRC & -0.04 & 5.68123601795649e-29
MEIS3 & -0.04 & 3.49877671858986e-06
NTRK3 & -0.041 & 3.7635348595427e-07
BMP6 & -0.042 & 1.2201105361839e-08
FBXL15 & -0.042 & 2.08326395127088e-21
ZNF337 & -0.042 & 3.05216076908658e-07
S1PR1 & -0.043 & 0.00117842956696837
EDNRB & -0.044 & 1.07776578369266e-06
ESRRG & -0.044 & 4.26076724742221e-08
ZNF770 & -0.044 & 9.54631059621371e-18
PRMT5 & -0.045 & 1.06978282003934e-13
ZBTB47 & -0.048 & 4.72428916592353e-13
BOLA1 & -0.049 & 5.50806624945908e-14
CDH13 & -0.049 & 6.66478293308555e-09
HEY1 & -0.049 & 3.6298691219436e-06
NUFIP1 & -0.049 & 6.3161010690972e-19
SOX6 & -0.049 & 1.61712844475646e-09
ZNF91 & -0.05 & 3.69120615430424e-34
IPPK & -0.054 & 6.98270781332347e-19
LHX6 & -0.054 & 1.11337335510644e-06
ZNF619 & -0.054 & 1.95060697347103e-16
KAT5 & -0.056 & 6.35819662041635e-15
ZNF696 & -0.057 & 2.11468990784246e-24
PFKM & -0.059 & 7.23636782827384e-24
TSSK4 & -0.06 & 2.98415097108246e-18
ZNF276 & -0.06 & 1.49417360860254e-07
SIRT5 & -0.061 & 3.84284936200138e-15
MTERF2 & -0.062 & 1.07858988334861e-17
PDPK1 & -0.062 & 7.53358564410645e-21
ING5 & -0.065 & 1.2485191218329e-18
NFKBIL1 & -0.065 & 9.2144305908734e-23
GRHL3 & -0.066 & 1.57296543051213e-08
PPM1A & -0.066 & 1.56114372241445e-32
ZNF133 & -0.066 & 1.03583483707125e-16
ZNF19 & -0.068 & 4.28292523023734e-15
PEG3 & -0.069 & 1.31420278242008e-29
ZNF423 & -0.069 & 4.85345469242188e-20
PINK1 & -0.073 & 1.26876074671732e-18
RNF141 & -0.076 & 2.6656853258007e-28
SETD3 & -0.076 & 3.56218373651232e-22
SFRP2 & -0.076 & 9.51809087863127e-11
RUNX1T1 & -0.081 & 3.44833611972003e-18
HLF & -0.082 & 2.76898133798413e-17
NRIP2 & -0.083 & 1.17513856966879e-16
HDAC11 & -0.084 & 1.44201830264145e-31
HSF4 & -0.085 & 1.73612816115137e-12
KLF15 & -0.088 & 2.9604210619535e-18
PCBP3 & -0.091 & 1.25086191214391e-14
APBB1 & -0.093 & 1.6286150097753e-22
EMX2 & -0.093 & 1.98415332648457e-13
TMEM100 & -0.096 & 5.34650818356148e-08
ZNF169 & -0.097 & 2.07720632122216e-25
L3MBTL1 & -0.101 & 8.02333963853908e-29
PRKCZ & -0.108 & 3.35297344918055e-35
PDE2A & -0.109 & 4.15588365905479e-21
CRY2 & -0.161 & 9.40376093126022e-27
