TF Padj NES TopMR Cancer Avg_ICR_High Avg_ICR_Low
IGF1 2.28348645053305e-05 2.27817010388379 1 BLCA 0.0269978824822314 -0.0702360781917696
TNFAIP3 2.28348645053305e-05 2.02497578592759 1 BLCA 0.086013121077203 -0.0920227928386509
DACT1 2.28348645053305e-05 2.18786163883854 1 BLCA 0.031342750027892 -0.0598517197231752
SCML4 2.28348645053305e-05 2.85989286848648 1 BLCA 0.158409554818922 -0.173012881458037
SP110 2.28348645053305e-05 2.08328814676205 1 BLCA 0.112571539642661 -0.118418128390459
PSME2 2.28348645053305e-05 2.04612168763061 1 BLCA 0.0627739058794072 -0.0575922922477353
NLRC5 2.28348645053305e-05 2.74234311036184 1 BLCA 0.151016183932753 -0.14790372792448
PSMB9 2.28348645053305e-05 2.88203432675893 1 BLCA 0.145241631461002 -0.14297246198255
WNT2 2.28348645053305e-05 2.33770717620561 1 BLCA 0.0467286373646468 -0.0836187029175919
S100A8 2.28348645053305e-05 2.3142751750567 1 BLCA 0.0893325643157997 -0.0799043502490969
PSMB8 2.28348645053305e-05 2.4183811180009 1 BLCA 0.104490645191423 -0.101029221164118
GAS6 2.28348645053305e-05 1.92096003289974 1 BLCA 0.0672755594590828 -0.0925985893101058
STAT1 2.28348645053305e-05 2.61926439694563 1 BLCA 0.134629026851061 -0.133904344942719
RELB 2.28348645053305e-05 1.94397646295432 1 BLCA 0.0788209277580097 -0.0791519980789409
CHRD 2.28348645053305e-05 1.92453264253274 1 BLCA 0.00960417527608399 -0.0439984460037746
CIITA 2.28348645053305e-05 2.5587172142534 1 BLCA 0.124671374774978 -0.123724695227086
SLC11A1 2.28348645053305e-05 2.35414568695737 1 BLCA 0.158384219071571 -0.157550464522645
SP140 2.28348645053305e-05 2.8269442158876 1 BLCA 0.139942992012277 -0.146580872741992
TBX21 2.28348645053305e-05 2.89392228888066 1 BLCA 0.221737839441162 -0.195816380095068
PARP14 2.28348645053305e-05 2.45189299788085 1 BLCA 0.0689208365585573 -0.0728712649964706
TNIP3 2.28348645053305e-05 2.68266627679111 1 BLCA 0.191730093680674 -0.176395328735355
CYR61 2.28348645053305e-05 1.93121408325545 1 BLCA 0.0589356355901318 -0.092027620437947
BATF2 2.28348645053305e-05 2.64059043427096 1 BLCA 0.131099926211265 -0.135107175439716
PTAFR 2.28348645053305e-05 1.86707145574648 1 BLCA 0.0905699449575612 -0.0883061016857396
SPIB 2.28348645053305e-05 2.4148024767857 1 BLCA 0.0997058980823676 -0.113290488303142
MEOX2 2.28348645053305e-05 1.97369094442364 1 BLCA 0.0356802466603605 -0.0639460637380948
MEOX1 2.28348645053305e-05 2.18490634768661 1 BLCA 0.0515178134481888 -0.0803109138594239
AKNA 2.28348645053305e-05 2.00067026406797 1 BLCA 0.0573198082139524 -0.060710657438287
DTX3L 2.28348645053305e-05 2.23912571264165 1 BLCA 0.0833403143218083 -0.0798145758253966
LPXN 2.28348645053305e-05 2.23724775159756 1 BLCA 0.102293723378078 -0.115285420739925
POU2AF1 2.28348645053305e-05 2.52856693679275 1 BLCA 0.0924927833878597 -0.115408898245423
HGF 2.28348645053305e-05 1.98269940767231 1 BLCA 0.0319990519951179 -0.0690923690010057
HIC1 2.28348645053305e-05 2.20900738625541 1 BLCA 0.048023801477661 -0.0713954072956831
IL6 2.28348645053305e-05 2.37465024885254 1 BLCA 0.0715550810522032 -0.0862211313787496
KLF9 2.28348645053305e-05 2.08461686341057 1 BLCA 0.0417272830324955 -0.0718723470669865
GAS7 2.28348645053305e-05 2.07585385416484 1 BLCA 0.0614874450104138 -0.0942459451269651
ETV7 2.28348645053305e-05 1.94929743314253 1 BLCA 0.0662656678199212 -0.0601528837350886
CD74 2.28348645053305e-05 2.70695575257173 1 BLCA 0.112731520533549 -0.125267013862652
PSMB10 2.28348645053305e-05 1.91662524463145 1 BLCA 0.0560731665752273 -0.0617047411371859
LTF 2.28348645053305e-05 2.28663268159539 1 BLCA 0.0773029790653305 -0.0914869346785311
LEFTY2 2.28348645053305e-05 2.02766397712211 1 BLCA 0.0161527204898911 -0.0591159114624631
IFNG 2.28348645053305e-05 2.77730343499391 1 BLCA 0.17551228090742 -0.159088997699168
PAX5 2.28348645053305e-05 2.32487308167849 1 BLCA 0.0685404091363689 -0.0765932773621177
PARP9 2.28348645053305e-05 2.42087726330664 1 BLCA 0.103045352057362 -0.10810691301227
DDX58 2.28348645053305e-05 2.39860929665508 1 BLCA 0.107321835601032 -0.0991472050832206
FOXP3 2.28348645053305e-05 2.69422276645778 1 BLCA 0.153416900495531 -0.160333106088809
CXCL10 2.28348645053305e-05 2.74876677303114 1 BLCA 0.197838817329564 -0.196182693916587
RFX8 2.28348645053305e-05 2.03086157602429 1 BLCA 0.0789912116919186 -0.0834796454364587
STAT4 2.28348645053305e-05 2.45938262141155 1 BLCA 0.16242898966455 -0.16605629944799
TNFRSF4 2.28348645053305e-05 2.34511573871902 1 BLCA 0.12263037202635 -0.131559770265306
MN1 2.28348645053305e-05 2.25836338458209 1 BLCA 0.0672260467014344 -0.0916187302121085
PIM2 2.28348645053305e-05 2.53638938820447 1 BLCA 0.0935926576124197 -0.104937487372096
CSF2 2.28348645053305e-05 2.39342680139542 1 BLCA 0.095757529132126 -0.0870325000737603
ZNF683 2.28348645053305e-05 2.61660176883091 1 BLCA 0.163749890365995 -0.139415953205421
TNFSF8 2.28348645053305e-05 2.56907319329365 1 BLCA 0.103262265647269 -0.117705409360627
OSM 2.28348645053305e-05 2.53736733973792 1 BLCA 0.113607691157953 -0.12713217552541
PARP15 2.28348645053305e-05 2.3221901459524 1 BLCA 0.10101341798901 -0.110773743119162
ADGRG3 2.28348645053305e-05 2.32595598735224 1 BLCA 0.108223831953832 -0.111119516953804
CSF3 2.28348645053305e-05 2.44798737398525 1 BLCA 0.130483620056395 -0.129285093146492
EIF2AK2 2.28348645053305e-05 2.07190440094081 1 BLCA 0.0685280774581108 -0.069938438936084
LYL1 2.28348645053305e-05 2.0656861125472 1 BLCA 0.0932846310909188 -0.0953277524510855
ZMYND15 2.28348645053305e-05 2.18217651411978 1 BLCA 0.058009187326673 -0.0559407244322918
SNAI1 2.28348645053305e-05 2.06650369757242 1 BLCA 0.0831880033824296 -0.0985654104159727
PLSCR1 2.28348645053305e-05 2.22328598326125 1 BLCA 0.102998812286042 -0.105268672095465
EOMES 2.29281141890635e-05 2.3107182664277 1 BLCA 0.176552445029267 -0.173733443779398
AICDA 2.29281141890635e-05 2.18340419799025 1 BLCA 0.0957746547819535 -0.116828542148291
TNFSF4 2.29281141890635e-05 2.10457875723205 1 BLCA 0.0710330313024197 -0.092912691279725
VAV1 2.29281141890635e-05 2.10956152272961 1 BLCA 0.0740566882969791 -0.0739379728324212
TWIST2 2.29281141890635e-05 2.03858413675674 1 BLCA 0.0971905178635238 -0.140803550935531
IRF7 2.3456406559109e-05 2.16069111008472 1 BLCA 0.0928114466799232 -0.0993100419510849
RUNX1T1 3.57398223410088e-05 1.76712134788753 1 BLCA -0.00270953637261217 -0.0439447063198427
THRB 3.58151190494557e-05 -2.06879173936331 1 BLCA -0.0915760179053923 0.0821771629268865
MAPK10 3.8284851731277e-05 -2.10115243061809 1 BLCA -0.137239746291523 0.0989342749077358
ZNF704 3.8284851731277e-05 -2.09469231249182 1 BLCA -0.072692872349793 0.0532537032328888
ZNF682 3.88288269990574e-05 -2.15301279523719 1 BLCA -0.0645389547339247 0.0729304183327025
GATA2 3.94731302016814e-05 -2.06444463968514 1 BLCA -0.092933839079647 0.0664698801779286
ZNF44 3.98082223577063e-05 -2.10300041938456 1 BLCA -0.0911008776317043 0.0764016169943686
CHP2 3.98082223577063e-05 -2.50214644403111 1 BLCA -0.0943868267150145 0.0783364392349386
L3MBTL1 3.98082223577063e-05 -2.3044859388915 1 BLCA -0.0288359766799375 0.034422088619611
HSF4 3.98082223577063e-05 -2.03938180809021 1 BLCA -0.0437084923824643 0.0412298517066411
NPAS2 3.98082223577063e-05 -2.06807072561404 1 BLCA -0.0728457133551469 0.0642764521048234
POU3F1 3.98082223577063e-05 -2.10836172058942 1 BLCA -0.0635812036930745 0.0564635569873335
NR4A3 3.98082223577063e-05 1.99400859752062 1 BLCA 0.0432705028183016 -0.0703145687074848
HOXB5 3.98082223577063e-05 -2.12039503706916 1 BLCA -0.0390538603035401 0.0358646958124882
GLI4 3.98082223577063e-05 -2.14232694613252 1 BLCA -0.0358231806816867 0.036829736450298
ZNF675 3.98082223577063e-05 -2.09990550187644 1 BLCA -0.0326215612401744 0.0340310722708759
ATF7IP2 3.98082223577063e-05 -2.09071050072032 1 BLCA -0.0997186947664515 0.0836911138366836
PIR 3.98082223577063e-05 -2.25874559116556 1 BLCA -0.0380296957432486 0.0312513609611048
EMX2 3.98082223577063e-05 -2.33681546304298 1 BLCA -0.12111175356709 0.0983000748209398
MAPK13 3.98082223577063e-05 -2.05272588986001 1 BLCA -0.022943452750372 0.0238318315391877
HOXB3 3.98082223577063e-05 -2.02185739882237 1 BLCA -0.0576419925723376 0.0525021574224792
PCGF3 3.98082223577063e-05 -2.32444527910607 1 BLCA -0.0467128345534655 0.0572866351791987
POU5F1 3.98082223577063e-05 -1.95556436012855 1 BLCA -0.0707787921067072 0.0628912162388746
BMP5 3.98082223577063e-05 -1.95971026951254 1 BLCA -0.142380325993667 0.127523326597442
MOSPD1 3.98082223577063e-05 -1.94405345417754 1 BLCA -0.0384962496455828 0.0331080495460659
NR3C2 3.98082223577063e-05 -1.98396747935611 1 BLCA -0.0523633182663593 0.028662462491109
OGT 3.98082223577063e-05 -2.22722190281333 1 BLCA -0.0288893113651884 0.0324970780695706
ZNF254 3.98082223577063e-05 -1.92552484336131 1 BLCA -0.103715450943894 0.0939630186512228
SMAD6 3.98082223577063e-05 -1.98116161177469 1 BLCA -0.0856953119700347 0.0837712738087713
PABPC1L 3.98082223577063e-05 -2.23394589026005 1 BLCA -0.0317247976725243 0.0404710977320944
MZF1 3.98082223577063e-05 -2.5330281353262 1 BLCA -0.0520501318961477 0.0562400969297998
ZNF846 3.98082223577063e-05 -2.12101330312241 1 BLCA -0.0979609842363648 0.0964108165869992
QARS 3.98082223577063e-05 -1.92206358347949 1 BLCA -0.0314188079246133 0.029228127035623
ZNF23 3.98082223577063e-05 -2.24435012546595 1 BLCA -0.0390609024208061 0.0568255774157479
RECQL5 3.98082223577063e-05 -1.96235671925664 1 BLCA -0.0390263112221486 0.0368377197551961
ERN2 3.98082223577063e-05 -2.45770630349743 1 BLCA -0.0781408574062304 0.0661623857750886
SHH 3.98082223577063e-05 -2.44462064826089 1 BLCA -0.141792242976095 0.124738407164091
EHF 3.98082223577063e-05 -1.98296083827738 1 BLCA -0.0464265214719056 0.0352002949566607
SS18L1 3.98082223577063e-05 -2.07687905660008 1 BLCA -0.0489575558552538 0.0588778777594636
EVX1 3.98082223577063e-05 -2.82678483425078 1 BLCA -0.112836307469897 0.0860004108780101
IPPK 3.98082223577063e-05 1.66728259848024 0 BLCA 0.0485505029959373 -0.0313929719654579
IHH 3.98082223577063e-05 -2.41289377323946 1 BLCA -0.0567706842031566 0.0600806125754195
LHX4 3.98082223577063e-05 -2.43080569044313 1 BLCA -0.0277652087910649 0.0462931397958422
ZBTB8B 3.98082223577063e-05 -1.85955748329653 1 BLCA -0.113262649114464 0.105514282896174
PKIA 3.98082223577063e-05 -1.96936715948372 1 BLCA -0.0626292652020042 0.0552599628985041
TGFBR3 3.98082223577063e-05 -2.05945062761753 1 BLCA -0.0896179796477113 0.0624207618664268
KCTD1 3.98082223577063e-05 1.67649378855319 0 BLCA 0.044237788138229 -0.0345368777087037
ARGLU1 3.98082223577063e-05 -2.16512377716325 1 BLCA -0.0302035885062709 0.0349336059317013
ZNF638 3.98082223577063e-05 -1.83433349338464 1 BLCA -0.0267375905730872 0.0260709988380661
NR1H4 3.98082223577063e-05 -2.28567987636054 1 BLCA -0.0485998674596028 0.0335265807052429
SIRT7 3.98082223577063e-05 -1.879578666007 1 BLCA -0.0405929842575701 0.043160773838347
KAT2A 3.98082223577063e-05 -1.86495719298976 1 BLCA -0.0350590484548567 0.0417271554579012
PAXBP1 3.98082223577063e-05 -2.25884998816775 1 BLCA -0.0362663069386811 0.0416147512143952
EIF2AK3 3.98082223577063e-05 -2.13107070580933 1 BLCA -0.0597941989450095 0.0469498245224303
ITGA8 3.98082223577063e-05 -1.89416521377036 1 BLCA -0.0444804208087733 0.00453958361453589
SPDEF 3.98082223577063e-05 -2.20417429240856 1 BLCA -0.0407454335361298 0.0243007018455744
ZNF91 3.98431229816223e-05 -2.2384296924593 1 BLCA -0.0687483115858873 0.0656677009478801
MESP1 3.98431229816223e-05 -1.75742672457058 1 BLCA -0.0230994459123436 0.0234040875567511
ELP6 3.98621688852775e-05 -1.84759060769786 1 BLCA -0.0169802755287383 0.018912310215199
ZNF789 3.9873738613875e-05 -2.44129942989528 1 BLCA -0.0314466538947963 0.0383162189821309
ZNF737 3.9873738613875e-05 -2.32814504543491 1 BLCA -0.0965951503430951 0.0874210485375544
TRIM52 3.9873738613875e-05 -2.2770437596963 1 BLCA -0.0403837281859444 0.0449381238109109
DDX39B 3.9873738613875e-05 -2.40339447903714 1 BLCA -0.0430670590650839 0.0535495626925663
ATOH8 3.9873738613875e-05 -2.21430177491372 1 BLCA -0.0851301069374896 0.0720955393240603
ID1 3.9873738613875e-05 -1.92506259265501 1 BLCA -0.0713484165893998 0.0693193844016109
SRC 3.9873738613875e-05 -2.24243740084796 1 BLCA -0.0894675466605776 0.0736439818697045
TRIM31 3.9873738613875e-05 -2.4914488203134 1 BLCA -0.0656009966465806 0.0518097118229159
CCNL1 3.9873738613875e-05 -2.12111474122198 1 BLCA -0.0314044783566553 0.0354195606046399
ZGLP1 3.9873738613875e-05 -1.81627505369378 1 BLCA -0.00910619248063489 0.0210732326912785
MACC1 3.9873738613875e-05 -1.82889903982673 1 BLCA -0.0363571416327419 0.023425596914474
LPIN3 3.9873738613875e-05 -2.26920489730167 1 BLCA -0.0567555148103107 0.0611040445066148
ZNF224 3.9873738613875e-05 -2.00286314903734 1 BLCA -0.0479969493256205 0.0478407361298298
HNF1B 3.9873738613875e-05 -2.70449117059967 1 BLCA -0.0900208240034618 0.0636787703545255
BHLHE41 3.9873738613875e-05 -1.83435085952619 1 BLCA -0.0611345744675662 0.049514594233198
ZNF169 3.9873738613875e-05 -2.16444774893104 1 BLCA -0.0129234863095085 0.0311136276849576
BMP3 3.9873738613875e-05 -2.52084504473705 1 BLCA -0.158939234685154 0.119668227550007
RARG 4.02480580698982e-05 -1.77770552667095 1 BLCA -0.0247441049831709 0.024944928374434
GDF15 4.03854191102146e-05 -2.25991197561428 1 BLCA -0.0835432488982926 0.0588948210577975
ASCC2 4.04543123000299e-05 -2.12950180057077 1 BLCA -0.0848271818814959 0.0747643349758854
OVOL2 4.06464466459455e-05 -2.34310760310521 1 BLCA -0.0647270799322788 0.0550285308324363
BAMBI 4.06464466459455e-05 -2.07838635544142 1 BLCA -0.108185009054086 0.087295029266818
ZNF852 4.06464466459455e-05 -2.17876534285994 1 BLCA -0.0450757120620217 0.0626228033909749
AGER 4.06464466459455e-05 -2.4333776662862 1 BLCA -0.0273584547425915 0.0385953086365609
CDK5RAP3 4.06464466459455e-05 -2.06612955244702 1 BLCA -0.0380489293967109 0.0388148031645561
ZNF805 4.06464466459455e-05 -1.71862990718375 0 BLCA -0.0174266024696901 0.0256850644840537
TRIM24 4.06464466459455e-05 -1.72536565533555 0 BLCA -0.0928816690756512 0.0794785205442757
MYSM1 4.06464466459455e-05 -2.35664054904145 1 BLCA -0.0501393320517288 0.0586138286276033
HDAC10 4.06464466459455e-05 -2.14138783362474 1 BLCA -0.046106748773444 0.0542313872458321
GTF2IRD2B 4.06798118089321e-05 -1.91539321986999 1 BLCA -0.0641076866321443 0.0647157399596384
ELF5 4.07978013541802e-05 -3.06526466039527 1 BLCA -0.149820546976936 0.121275859267095
CREB3L2 4.08683440269256e-05 -1.71304954555592 0 BLCA -0.0460491978893413 0.0237322978569366
SOX4 4.09075018099821e-05 -1.67858603501355 0 BLCA -0.0332904458273191 0.0348458244279756
ZNF337 4.09075018099821e-05 -2.49431291556692 1 BLCA -0.0545297802978169 0.0725850326689785
ZNF69 4.09450266123425e-05 -1.69631701128403 0 BLCA -0.0783862689075797 0.0682049642753561
DMTF1 4.09450266123425e-05 -2.15434913883163 1 BLCA -0.0366197082632507 0.0423483999715832
PLA2G10 4.09450266123425e-05 -2.40397228335625 1 BLCA -0.0611125979776249 0.0508470664637677
TRIM21 4.13092531144043e-05 2.01248350924817 1 BLCA 0.0868492217625963 -0.0857527237202635
KLF3 4.14597400410515e-05 -2.18500640172229 1 BLCA -0.0733927920085458 0.0604741781649066
TSSK4 4.16445719076823e-05 -2.24955468863264 1 BLCA -0.0317969300582317 0.0433122829724847
ZNF799 4.16445719076823e-05 -1.74402265022431 0 BLCA -0.0853871136620721 0.0936500497893753
CCNL2 4.16445719076823e-05 -2.77478993926105 1 BLCA -0.0448843038871267 0.0480429821375171
GTF2H4 4.16445719076823e-05 -1.99646268041483 1 BLCA -0.0178130649138996 0.031704994493968
NR2C2 4.16445719076823e-05 -2.12768481914308 1 BLCA -0.0332175980619937 0.0421383620466636
OVOL1 4.16932386823169e-05 -2.17213425738153 1 BLCA -0.061814231344173 0.0576168899429633
GPS2 4.16932386823169e-05 -2.63776912004628 1 BLCA -0.0322092443370812 0.0485302706148546
ADGRF1 4.16932386823169e-05 -2.33857465920408 1 BLCA -0.0638819624826897 0.0443203305074627
ERBB4 4.24732904943006e-05 -2.11391196204711 1 BLCA -0.101621845864492 0.100113047306177
TOX3 4.25271297985295e-05 -2.8969654043946 1 BLCA -0.162404956870682 0.141400057146283
GRHL2 4.25271297985295e-05 -1.75360161188605 1 BLCA -0.0622908033468167 0.0581944145490269
SMAD3 4.25271297985295e-05 -1.77017605476855 1 BLCA -0.0414176778670029 0.0317296882883538
ZNF692 4.25271297985295e-05 -2.37859383150292 1 BLCA -0.0523090333364015 0.0556605461506812
ZNF750 4.25271297985295e-05 -1.83218925739811 1 BLCA -0.0312906043380645 0.0238714527132362
NR3C1 4.25271297985295e-05 -1.77903742464588 1 BLCA 0.101185733762059 -0.0970896298031412
